round,avg_trust,trusturgency,avg_spoofed,avg_recovery,avg_coord_success,avg_violations,avg_distance,avg_duplicates,avg_bait,avg_exit_violations,reward_score,trust_weighted_coord,coalition_success
84,0.916,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
85,0.911,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
86,0.911,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
87,0.908,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.875
88,0.907,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.875
89,0.911,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
90,0.914,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
91,0.909,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.875
92,0.913,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.75
93,0.913,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.778
94,0.931,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.875
95,0.946,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.875
96,0.942,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.636
97,0.939,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.636
98,0.931,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.7
99,0.933,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.778
